stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,labels
NYT,6.46,4.535,0.05705,35.864,0,1611878400,7956646400,13389361,26.13,32.89240182801669,37.97101647703897,33.89348649057917,31.494526273485775,36.95273602547538,41.77396548848304,44.567625348765525,44.999444259478395,43.249587372638565,44.10273458356772,41.0054317073954,49.743808443449055,-1
USO,0.0,0.0,0.0,0.0,0,0,0,0,16.88,97.46666608537946,86.02947395726254,53.46181904185902,33.04000037057059,23.334000015258788,28.10681828585538,29.369090947237883,30.612380981445312,28.643809636433918,28.187272678722035,29.109000205993652,32.43181826851585,2
NIO,0.66,0.0,-0.34511003,0.0,0,1611878400,64670171136,48084071,2.11,4.289523783184233,4.255263165423744,3.2259090922095557,3.1119047573634555,3.683999979496002,6.714090889150446,12.995454528115012,15.514285677955264,19.500000090826127,26.01863635670055,47.59499988555908,47.11318172108043,0
ARR,4.68,-27.691,0.0,0.0,0,1611878400,5109518336,5575748,4.95,16.730496820950865,18.005497348707053,12.502552254624005,7.875806444902092,7.319845626004296,8.494770953923222,8.766908759142947,9.12776762353895,9.239796614090077,9.356031242076126,10.082255198551744,10.660395625456033,-1
AIN,4.11,3.319,0.109469995,12.408,0,1611878400,2988705536,637677,30.46,75.21500792332847,71.78144202518384,51.98542760634162,47.96263519108714,54.63828445760062,62.08404462890582,53.57560355702185,51.969490996462355,52.11905018811332,54.06983212193125,64.21298069586429,72.87735927653107,1
FLY,0.87,6.719,-0.20413,0.0,0,1611878400,2219267584,281009,3.41,19.090476172310964,18.23000024494372,10.644999937577682,6.064761911119733,6.581999993324279,9.400909120386297,7.4945454597473145,7.776666709354946,7.179047607240223,7.268636335026134,7.762000036239624,9.172272682189941,1
AGO,8.86,3.698,0.35214,9.599,0,1611878400,3801200128,4657045,13.64,46.87128335827837,44.925018581907366,31.707901516983068,28.517436005995364,27.13616595367916,26.792672931242763,23.151828311467302,22.799181491690952,20.564889592052005,27.044457567423844,30.53994762942156,31.456921526655233,-1
OLD,0.0,0.0,0.0,0.0,0,0,0,0,14.079,30.545028718384824,30.974448445061626,21.752331921697813,20.326203478714252,20.942922979678514,23.85897182153742,23.705417097758332,25.38835512891298,25.714975335565278,25.64337882343832,28.04643591092514,29.552939228796784,2
AMC,0.23,12.955,0.0,-15.085,0,1611878400,16095543296,55490440,1.91,7.016004710734687,6.98504179061696,4.024722883675882,3.354285728363764,4.959999966621399,5.64500000260093,4.383181788704612,5.380952335539318,5.9033333006359285,3.5622727654196997,3.478499960899353,3.3400000008669766,-1
BBY,2.52,0.579,0.038039997,7.807,0,1611878400,27378806784,6366286,48.11,87.2782601838556,86.15241416014804,64.53568203478345,67.20057372466472,78.40645557573541,82.48575615905509,91.32402175194693,108.13578331235269,108.70807518166079,117.12974661558114,118.11718249006803,104.19394278314597,1
